Civlak,RS
Rasane,RS
'ailali,SB
'ajl?n,JO
'amm?n,JO
'aoueïna,ML
'arrabuna,PS
'as?r,SA
'ayn Ad dafla,DZ
'ayn T?m??anat,DZ
'emieri,MT
'ofarim,PS
'omarim,PS
'oofa,SB
'oofu,SB
'uvea,SB
01,ET
01,TG
01,ZR
02,DJ
02,FI
02,LB
02,LR
02,LY
02,ML
02,RW
02,TG
02,ZR
03,CD
03,CI
03,DJ
03,ET
03,LS
03,RW
03,TG
03,ZR
04,IS
04,KW
04,LY
04,RW
04,TG
04,ZA
04,ZR
05,BI
05,CI
05,ET
05,LR
05,RW
05,TG
05,ZR
06,CI
06,ET
06,LA
06,LY
06,TG
06,VN
06,YE
06,ZR
07,CI
07,RW
07,TG
07,YE
07,ZR
08,GN
08,HT
08,IS
08,LR
08,RW
08,SN
08,TG
08,ZR
09,ET
09,LY
09,NE
09,YE
09,ZR
10,LY
10,RW
10,TG
10,VN
10,ZR
11,CI
11,LY
11,TG
11,ZR
12,CI
12,LR
12,MP
12,NG
12,TG
12,YE
12,ZR
13,CG
13,LR
13,MP
13,TG
13,YE
14,CG
14,CI
14,GN
14,MP
14,TG
15,IN
15,LA
15,LR
15,MM
15,MP
15,SO
15,UZ
15,VN
16,BF
16,CI
16,DK
16,LA
16,LR
16,MM
16,MP
16,TG
16,UZ
17,CI
17,LR
17,MP
17,SO
17,TG
17,YE
18,BF
18,CI
18,LA
18,LR
18,LY
18,MP
18,NG
19,IS
19,LA
19,LY
19,MP
19,TG
19,TH
20,AF
20,CI
20,GN
20,KH
20,LA
20,MP
20,NG
21,CI
21,JO
21,LA
21,LR
21,TG
22,BF
22,LA
22,LR
22,MM
23,CI
23,LA
23,LY
23,MP
24,BF
24,GN
24,LA
24,LY
24,PY
25,CI
25,KH
25,LA
25,LY
26,CI
26,GN
26,LA
26,LY
26,SD
26,UG
27,IN
27,LA
27,LY
28,UG
29,LY
29,UG
30,BF
30,CI
30,IS
30,UG
31,BF
31,LY
31,UG
32,BF
32,LY
33,LY
34,NG
34,UG
35,LY
35,UG
36,LY
36,SD
37,BF
37,CI
37,SD
38,BF
38,SD
38,UG
39,BF
39,CI
39,SD
39,UG
40,LT
40,NA
40,UG
41,CI
41,SD
41,UG
41,VN
42,CI
42,MA
42,SD
43,BF
43,LY
43,MA
43,SD
43,UG
45,PH
45,SD
45,UG
46,CI
46,SD
46,UG
47,CI
47,SD
47,UG
48,SD
49,SD
50,SD
50,UG
51,SD
52,CI
52,SD
53,SD
54,CI
54,SD
55,SD
56,SD
57,SD
58,CI
58,SD
58,UG
59,CI
59,SD
59,UG
60,UG
61,UG
62,CI
62,UG
63,CI
64,CI
66,CI
67,CI
68,CI
69,CI
70,CI
70,UG
72,UG
73,CZ
76,UG
79,TH
80,BD
80,TH
99,VE
?? Q?r,IQ
??b?s,PS
??g?s ?aza?stan,KZ
??ki Zaqatala,AZ
??liz?n,DZ
??lkarm,PS
??ng B?ng Song C?u Long,VN
??ng B?ng Song H?ng,VN
??rnak,TR
?a'dah,YE
?a??adarya,UZ
?abljak,ME
?abr?tah Wa ?urman,LY
?abwah,YE
?af?qis,TN
?al?h? Ad D?n,IQ
?am?l ?azzah,PS
?am?l D?rf?r,SD
?am?l Kurduf?n,SD
?am?l S?na,EG
?am?r,YE
?anl?urfa,TR
?ar??s,SY
?arb Al Istiw?'?yah,SD
?arb Bah?r al ?az?l,SD
?arb D?rf?r,SD
?arb Kurduf?n,SD
?ard?yah,DZ
?arq Al Istiw?'?yah,SD
?avnik,ME
?awr,AF
?azzah,PS
?e?enija,RU
?eljabinsk,RU
?iauli?,LT
?ibenik Knin,HR
?ilinský,SK
?ita,RU
?l?m,IR
?l?skie,PL
?ong B?c B?,VN
?ong Nam B?,VN
?ora?alpogiston,UZ
?sparta,TR
?stanbul,TR
?tefan Vod?,MD
?ukotka,RU
?umen,BG
?uva?ija,RU
?wi?tokrzyskie,PL
?zmir,TR
?ódzkie,PL
A Gol,PW
A Imelogel,PW
A Imeungs,PW
A Imig,PW
A Ipelau,PW
A Irai,PW
A Kung Ngam,HK
A Kung Tin,HK
A Kung Wan,HK
A Ma Wat,HK
A Meungs,PW
A Po Long,HK
A Shan,HK
A Shan San Wai,HK
A Shan Shan Tsiu Lam,HK
A Shan Tseng Tau,HK
A Shan Tsiu Lam,HK
A Ulimang,PW
A'?l? An N?l,SD
A'ama,SB
A. Dubuisson,RE
A? ?af?lah,JO
A? ?alif,DZ
A? ?am?l,QA
A? ?am?l?yah,BH
A? ?am?l?yah,SD
A? ?amal,LB
A? ?arif,DZ
A? ?arq?yah,EG
A? ?arq?yah,OM
A? ?arq?yah,SA
A?r?,TR
Aaerne,FO
Aaium,EH
Aaiún,EH
Aakip,PW
Aanerne,FO
Aargau,CH
Aargub,EH
Aasiaat,GL
Ab Anrafa,ER
Ab?eron,AZ
Ababi,CD
Ababi,ZR
Abacheri,ER
Abaco,BS
Abaka,CD
Abaka,ZR
Abakuba,CD
Abakuba,ZR
Abandonné,MQ
Abanengo,CD
Abanengo,ZR
Abang,BN
Abango,CD
Abango,ZR
Abanusi,CD
Abanusi,ZR
Abaokoro,KI
Abarda,ER
Abaredda,ER
Abasan,PS
Abasan Al Kabir,PS
Abashis Raioni,GE
Abasân El kabîr,PS
Abatao,KI
Abati,CD
Abati,ZR
Abbi Adi,ER
Abbotsford,NZ
Abdallah,CD
Abdallah,ZR
Abdi,ER
Abdulla,TZ
Abe,ER
Abebekombo,CD
Abebekombo,ZR
Aberdeen,HK
